                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.4099,                 5.0876,                 4.1381,                0.00048,                0.12667,                0.00146,                0.00025,                 4.1002,                  4.538,                 3.8876,               0.070476,              0.0032804,              0.0032804
                      1,                 3.9435,                 4.2437,                 3.7627,                0.00571,                0.27075,                0.03119,                0.01209,                 2.7882,                 3.8636,                 3.3707,               0.040411,              0.0065483,              0.0065483
                      2,                 3.6827,                 4.0225,                 3.4648,                0.80932,                0.04667,                0.01353,                0.00247,                 5.0606,                 13.607,                 5.4766,               0.010279,              0.0097501,              0.0097501
                      3,                 3.4034,                 3.7892,                 3.1896,                0.80284,                0.11333,                0.00585,                 0.0008,                 2.9818,                 26.788,                 3.5832,               0.009703,               0.009703,               0.009703
                      4,                 3.2385,                 3.8046,                 3.0818,                0.62817,                0.15692,                 0.0221,                0.00574,                 3.9446,                 8.5305,                 3.8626,               0.009703,               0.009703,               0.009703
                      5,                 3.1087,                 3.4762,                  2.874,                0.00598,                0.28162,                0.01521,                0.00526,                 2.8074,                 4.1949,                 2.7048,               0.009604,               0.009604,               0.009604
                      6,                 2.9047,                 2.9789,                 2.6117,                0.07009,                0.19767,                0.08067,                0.02748,                 2.5782,                 3.0977,                 2.5063,               0.009505,               0.009505,               0.009505
                      7,                 2.6772,                 2.7706,                 2.4761,                0.46288,                0.12294,                 0.1178,                0.03211,                 2.7262,                 2.8259,                 2.6565,               0.009406,               0.009406,               0.009406
                      8,                 2.4576,                 2.4899,                 2.3299,                0.39899,                0.34608,                0.18802,                0.09292,                 2.2086,                 2.6525,                 2.2656,               0.009307,               0.009307,               0.009307
                      9,                 2.3714,                 2.3819,                 2.2923,                0.65159,                0.27694,                0.11916,                0.03997,                 2.1521,                 3.2811,                 2.2563,               0.009208,               0.009208,               0.009208
                     10,                 2.2003,                 2.2419,                 2.1427,                0.48095,                  0.415,                0.26471,                0.13217,                 1.9288,                 1.8698,                 2.0412,               0.009109,               0.009109,               0.009109
                     11,                 2.0995,                 2.1554,                 2.0642,                0.58163,                0.30879,                0.24539,                0.12261,                 1.7472,                 1.7344,                  1.912,                0.00901,                0.00901,                0.00901
                     12,                  2.114,                 2.1769,                 2.0294,                0.52279,                0.34119,                0.29092,                0.14299,                 1.7904,                 1.7718,                 1.8871,               0.008911,               0.008911,               0.008911
                     13,                 2.0696,                 2.1769,                 1.9826,                0.54809,                0.23053,                 0.1622,                0.05473,                 2.0743,                 3.1933,                 2.1587,               0.008812,               0.008812,               0.008812
                     14,                 2.0235,                 2.0602,                 1.9573,                0.54466,                0.41868,                 0.2996,                0.15899,                  1.755,                 1.6983,                 1.8104,               0.008713,               0.008713,               0.008713
                     15,                 1.9619,                 2.0716,                 1.9245,                0.23021,                0.37679,                0.17691,                0.06885,                 1.9462,                 2.0421,                 2.0183,               0.008614,               0.008614,               0.008614
                     16,                 1.9278,                 1.8877,                 1.8809,                0.32609,                0.44921,                0.38572,                0.19036,                 1.7496,                 1.7226,                 1.7927,               0.008515,               0.008515,               0.008515
                     17,                 1.8536,                 1.7975,                 1.8208,                0.40933,                0.45272,                0.40419,                 0.1928,                 1.6828,                 1.3117,                 1.7449,               0.008416,               0.008416,               0.008416
                     18,                 1.8911,                 1.8686,                 1.7853,                0.52472,                0.41741,                0.34755,                0.16662,                 1.8122,                 1.7504,                 1.9049,               0.008317,               0.008317,               0.008317
                     19,                  1.811,                  1.749,                 1.7608,                 0.4606,                0.40803,                0.46604,                0.23053,                 1.6251,                  1.559,                 1.7605,               0.008218,               0.008218,               0.008218
                     20,                  1.745,                 1.6209,                 1.7114,                0.42672,                 0.5726,                0.48928,                 0.2263,                 1.7201,                 1.5159,                 1.7981,               0.008119,               0.008119,               0.008119
                     21,                 1.8568,                 1.7093,                 1.7485,                0.45376,                0.54788,                0.48318,                0.24338,                 1.6494,                 1.3888,                  1.721,                0.00802,                0.00802,                0.00802
                     22,                 1.7201,                 1.5972,                 1.7145,                0.50456,                0.53584,                0.47035,                0.23498,                 1.5992,                 1.3887,                 1.6638,               0.007921,               0.007921,               0.007921
                     23,                 1.7549,                 1.6408,                 1.6808,                0.53586,                0.52495,                0.50678,                0.25001,                 1.7542,                 1.7231,                 1.7585,               0.007822,               0.007822,               0.007822
                     24,                 1.7085,                 1.6651,                 1.6759,                0.36021,                0.37818,                0.39188,                0.16512,                 1.9714,                 3.0684,                 1.9926,               0.007723,               0.007723,               0.007723
                     25,                 1.7102,                 1.5541,                 1.6571,                0.58828,                0.43753,                0.55777,                0.26743,                  1.557,                 1.2159,                 1.6387,               0.007624,               0.007624,               0.007624
                     26,                 1.6683,                 1.5069,                 1.6254,                0.51521,                0.54296,                0.58403,                0.28009,                 1.5999,                 1.3666,                 1.6691,               0.007525,               0.007525,               0.007525
                     27,                   1.63,                 1.4267,                 1.6036,                 0.4773,                0.62307,                0.58742,                0.28515,                 1.6467,                 1.5306,                  1.682,               0.007426,               0.007426,               0.007426
                     28,                 1.7078,                 1.5044,                 1.6343,                0.59697,                0.55602,                0.55098,                0.28171,                 1.6029,                 1.8134,                 1.6789,               0.007327,               0.007327,               0.007327
                     29,                 1.6485,                 1.4487,                 1.6256,                0.42043,                0.65677,                0.61919,                0.29725,                 1.7109,                 1.7619,                 1.7332,               0.007228,               0.007228,               0.007228
                     30,                  1.582,                 1.3711,                 1.5979,                 0.6369,                0.41557,                0.50487,                0.23138,                 1.7575,                 2.3829,                 1.8225,               0.007129,               0.007129,               0.007129
                     31,                 1.6033,                 1.3943,                   1.59,                0.59525,                0.61119,                0.63153,                0.31403,                  1.741,                 1.8871,                 1.7804,                0.00703,                0.00703,                0.00703
                     32,                 1.5943,                 1.4121,                 1.6064,                0.61478,                0.64617,                0.67862,                 0.3333,                 1.6733,                 1.1834,                 1.7753,               0.006931,               0.006931,               0.006931
                     33,                 1.6302,                 1.4282,                 1.6057,                0.57677,                0.56437,                0.56681,                0.29418,                 1.5405,                 1.4564,                 1.6674,               0.006832,               0.006832,               0.006832
                     34,                 1.6152,                 1.3763,                 1.5886,                0.64708,                0.49602,                 0.5972,                0.30368,                 1.7752,                 2.0918,                 1.8216,               0.006733,               0.006733,               0.006733
                     35,                 1.5845,                 1.3202,                 1.5933,                  0.548,                0.46873,                0.52269,                0.28542,                 1.7959,                 2.1334,                 1.8757,               0.006634,               0.006634,               0.006634
                     36,                 1.5863,                 1.3205,                 1.5546,                0.55599,                 0.4943,                0.55061,                0.30034,                 1.4997,                 1.7714,                 1.6456,               0.006535,               0.006535,               0.006535
                     37,                 1.5334,                 1.2691,                 1.5428,                0.57341,                0.45869,                0.53689,                0.29799,                  1.697,                 3.1184,                 1.7971,               0.006436,               0.006436,               0.006436
