                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1228,                  2.392,                 1.3899,                 1.1533,                0.55392,                0.59293,                0.60249,                0.44924,                0.54073,                0.55574,                0.56889,                0.37183,                 1.0803,                 2.0751,                 1.1353,                 1.1187,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.0957,                 2.3883,                 1.4167,                 1.1665,                0.64751,                0.55657,                0.63927,                 0.4746,                0.63667,                0.51851,                0.59197,                0.37982,                 1.0813,                 2.0878,                 1.1138,                 1.1228,               0.086485,              0.0014851,              0.0014851
                      2,                 1.0609,                 2.2744,                 1.3547,                 1.1441,                0.65966,                0.58974,                0.66607,                0.50371,                 0.6425,                0.56204,                0.62243,                0.40973,                 1.0541,                 2.0083,                 1.0478,                 1.1025,               0.079254,              0.0022545,              0.0022545
                      3,                 1.0933,                  2.328,                 1.2005,                 1.1258,                 0.6912,                0.61214,                0.68447,                0.51722,                 0.6643,                0.58782,                0.63632,                0.42174,                  1.036,                 1.9866,                 1.0313,                 1.0934,               0.072008,              0.0030079,              0.0030079
                      4,                 1.0314,                 2.2871,                 1.2062,                 1.1216,                0.68698,                0.61005,                0.67895,                0.51308,                0.69707,                0.55195,                0.62629,                0.41102,                 1.0366,                 2.0139,                 1.0294,                 1.0949,               0.064746,              0.0037456,              0.0037456
                      5,                 1.0781,                 2.3085,                 1.2157,                   1.12,                  0.692,                0.60857,                0.67801,                0.50992,                0.67997,                0.57875,                0.62861,                0.40421,                 1.0604,                 2.0361,                 1.0665,                 1.1043,               0.057467,              0.0044673,              0.0044673
                      6,                 1.0218,                 2.3453,                 1.0892,                 1.0967,                0.70661,                0.56527,                0.66403,                0.49882,                 0.6599,                0.53916,                0.61941,                0.39302,                 1.0814,                  2.093,                 1.0849,                 1.1182,               0.050173,              0.0051733,              0.0051733
                      7,                 1.0633,                 2.3527,                  1.166,                 1.1422,                0.71282,                0.59338,                0.67594,                0.49976,                0.68243,                0.56072,                0.60822,                0.38543,                 1.0986,                 2.1754,                 1.0418,                 1.1181,               0.042863,              0.0058634,              0.0058634
                      8,                 1.0727,                 2.2547,                 1.1958,                 1.1172,                0.75949,                0.60175,                0.68342,                0.50725,                0.73978,                  0.547,                0.62912,                0.40371,                 1.1061,                 2.1006,                 1.0353,                 1.1162,               0.035538,              0.0065377,              0.0065377
                      9,                 1.0891,                 2.3289,                 1.1324,                 1.1188,                0.71138,                0.62425,                0.68225,                0.49565,                0.71736,                0.57069,                0.62379,                 0.4002,                 1.1098,                 2.0812,                 1.0338,                 1.1236,               0.028196,              0.0071961,              0.0071961
                     10,                 1.1327,                 2.4133,                 1.1991,                 1.1397,                0.74992,                0.54425,                0.65538,                0.46373,                0.75475,                0.47867,                0.58816,                0.36348,                 1.1381,                 2.2237,                 1.1234,                 1.1461,               0.020839,              0.0078387,              0.0078387
                     11,                 1.0661,                 2.2728,                 1.1677,                 1.1187,                0.71115,                0.55578,                0.65602,                0.45586,                0.60857,                0.54551,                0.58426,                0.35822,                 1.1359,                 2.1437,                 1.2053,                 1.1555,               0.013465,              0.0084655,              0.0084655
                     12,                 1.1146,                  2.356,                 1.2349,                 1.1393,                0.71526,                0.59504,                0.68136,                0.49178,                0.66915,                0.55334,                0.60502,                0.38828,                 1.1031,                 2.1086,                 1.1517,                 1.1284,               0.008812,               0.008812,               0.008812
